Code;Level;Beschrijving;Formula;SourceQty;UOM;UnitPerUOM;Waste;Consumption;Quantity;UnitCost;BaseCost;CostType;GrossTotal
09A01;3;Engineering;SPRINKLERVLOER.Net Top Surface Area/5;16.8135535312622;uur;-;1;1.05;17.6542312078253;78;1377.03003421038;ENG-A;1611.12514002614
09A02;3;Randkist;SPRINKLERVLOER.Edge Perimeter;37.287581900143;m1;-;1;1;37.287581900143;14;920.257521295528;;1076.70129991577
09A0201;4;Materiaal;SPRINKLERVLOER.Edge Perimeter;37.287581900143;m1;-;1;1.02;38.0333335381458;6;228.200001228875;MAT-A;266.994001437784
09A0202;4;Vellingkant;SPRINKLERVLOER.Edge Perimeter;37.287581900143;m1;-;1;1.02;38.0333335381458;8;304.266668305167;MAT-A;355.992001917045
09A0203;4;Maken;SPRINKLERVLOER.Edge Perimeter/4.5;8.28612931114288;uur;-;1;1.04;8.61757448358859;45;387.790851761487;UIT-A;453.715296560939
09A03;3;Wapening (100 kg/m3);SPRINKLERVLOER.Net Volume*100;1681.35535312622;kg;-;1;1;1681.35535312622;1.05;2034.43997728273;;2380.29477342079
09A0301;4;Wapening;SPRINKLERVLOER.Net Volume*100;1681.35535312622;kg;-;1;1.1;1849.49088843885;0.8;1479.59271075108;MAT-A;1731.12347157876
09A0302;4;Aanbrengen;(SPRINKLERVLOER.Net Volume*100)/150;11.2090356875082;uur;-;1;1.1;12.329939256259;45;554.847266531654;UIT-A;649.171301842035
09A04;3;Beton;SPRINKLERVLOER.Net Volume;16.8135535312622;m3;-;1.05;1.1;19.4196543286079;91;1767.18854390332;MAT-A;2067.61059636688
09A05;3;Storten en afwerken;SPRINKLERVLOER.Net Top Surface Area;84.0677676563111;m2;-;1;1.05;88.2711560391267;15;1324.0673405869;WDD;1549.15878848667
09A06;3;Aanvoerkosten betonpomp;IF(SPRINKLERVLOER.Net Volume>0,1,0);1;pst;-;1;1.05;1.05;360;378;MAT-E;442.26
09C;2;Vloer;VLOER.Net Top Surface Area;15178.3626120117;m2;-;1;1;15178.3626120117;0;658471.730831814;;770411.925073222
09C01;3;Werkvoorbereiding / regelen;40;40;uur;-;1;1.05;42;78;3276;ENG-A;3832.92
09C03;3;Vloer;VLOER.Net Top Surface Area;15178.3626120117;m2;-;1;1;15178.3626120117;0;655195.730831814;;766579.005073222
09C0301;4;Isolatie (5m1 strook);1;1;pst;-;1;1;1;0;34438.6459070654;;40293.2157112665
09C030102;5;Isolatie;ISOLATIE.Net Bottom Surface Area;2683.39145294261;m2;-;1;1;2683.39145294261;0;34438.6459070654;;40293.2157112665
09C03010201;6;Leveren isolatie EPS100 (d=120);ISOLATIE.Net Volume;322.006974353113;m3;-;1;1.15;370.30802050608;68;25180.9453944134;MAT-A;29461.7061114637
09C03010202;6;Leggen isolatie ;ISOLATIE.Net Bottom Surface Area/15;178.892763529507;uur;-;1;1.15;205.726678058933;45;9257.70051265199;UIT-A;10831.5095998028
09C0304;4;Delfs Green;VLOER.Net Top Surface Area;15178.3626120117;m2;-;1;1;15178.3626120117;0.4;6071.34504480468;WDD;7103.47370242147
