Code;Level;Beschrijving;Formula;SourceQty;UOM;UnitPerUOM;Waste;Consumption;Quantity;UnitCost;BaseCost;CostType;GrossTotal
05030202;4;Wapening;B-SMART 500.Net Volume*86;14274.8355597387;kg;-;1;1.08;15416.8224045178;1.65;25437.7569674544;MAT-A;29762.1756519216
050303;3;Uitvoeringsuren;B-SMART 500.Length/3;214.037986666469;uur;-;1;1.04;222.599506133128;45;10016.9777759908;UIT-A;11719.8639979092
050304;3;Beton;B-SMART 500.Net Volume;165.986459996962;m3;-;1.05;1.04;181.257214316682;92;16675.6637171348;MAT-A;19510.5265490477
0504;2;B-smart 600;B-SMART 600.Length;63.3;m1;-;1;1;63.3;0;9173.36143259999;;10732.832876142
050401;3;Engineering;B-SMART 600.Length/10;6.33;uur;-;1;1;6.33;78;493.74;ENG-A;577.6758
050402;3;B-smart element;B-SMART 600.Length;63.3;m1;-;1;1;63.3;49.5;5720.14880999999;;6692.57410769999
05040201;4;Element;B-SMART 600.Length;63.3;m1;-;1;1;63.3;34.5;2183.85;MAT-A;2555.1045
05040202;4;Wapening;B-SMART 600.Net Volume*100;1984.455;kg;-;1;1.08;2143.2114;1.65;3536.29880999999;MAT-A;4137.46960769999
050403;3;Uitvoeringsuren;B-SMART 600.Length/3;21.1;uur;-;1;1.04;21.944;45;987.48;UIT-A;1155.3516
050404;3;Beton;B-SMART 600.Net Volume;19.84455;m3;-;1.05;1.04;21.6702486;91;1971.9926226;MAT-A;2307.231368442
0506;2;Gootbalk;GOOTBALK.Length;36.425;m1;-;1;1;36.425;0;6505.05085883386;;7610.90950483561
050601;3;Engineering;GOOTBALK.Length/10;3.6425;uur;-;1;1.02;3.71535;78;289.7973;ENG-A;339.062841
050602;3;Bekisting;GOOTBALK.Reference Side Surface Area+GOOTBALK.Opposite Reference Side Surface Area+GOOTBALK.Ends Surface Area+GOOTBALK.Bottom Surface Area;67.9650124316415;m2;-;1;1.1;74.7615136748057;12;897.138164097668;MAT-A;1049.65165199427
050603;3;Wapening;GOOTBALK.Net Volume*95;1384.15038333984;kg;-;1;1.1;1522.56542167383;1.65;2512.23294576182;MAT-A;2939.31254654133
050604;3;Beton;GOOTBALK.Net Volume;14.5700040351563;m3;-;1;1.04;15.1528041965625;92;1394.05798608375;MAT-A;1631.04784371799
050605;3;Maken;GOOTBALK.Length/1.28;28.45703125;uur;-;1.05;1.05;31.373876953125;45;1411.82446289062;UIT-A;1651.83462158203
0507;2;Betonstrook;BETONSTROOK.Length;7;m1;-;1;1;7;0;772.108837500003;;903.367339875004
050701;3;Engineering;BETONSTROOK.Length/10;0.7;uur;-;1;1.02;0.714;78;55.692;ENG-A;65.15964
050702;3;Bekisting;BETONSTROOK.Reference Side Surface Area+BETONSTROOK.Opposite Reference Side Surface Area+BETONSTROOK.Ends Surface Area+BETONSTROOK.Bottom Surface Area;11.9000000000001;m2;-;1;1.1;13.0900000000001;12;157.080000000001;MAT-A;183.783600000001
050703;3;Wapening;BETONSTROOK.Net Volume*80;98.0000000000008;kg;-;1;1.1;107.800000000001;1.65;177.870000000001;MAT-A;208.107900000002
050704;3;Beton;BETONSTROOK.Net Volume;1.22500000000001;m3;-;1.05;1.04;1.33770000000001;92;123.068400000001;MAT-A;143.990028000001
050705;3;Maken;BETONSTROOK.Length/1.28;5.46875;uur;-;1;1.05;5.7421875;45;258.3984375;UIT-A;302.326171875
07;1;POEREN;1pp B600.Net Volume+POER A.Net Volume+POER B.Net Volume+POER C.Net Volume+POER D.Net Volume+POER E.Net Volume;1363.941246751;m3;-;1;1;1363.941246751;0;588252.314574415;;688255.208052066
0702;2;1-paals poer B600;1pp B600.Count;7;st;-;1;1;7;0;1362.80389503752;;1594.48055719389
070201;3;Engineering;1pp B600.Count/2;3.5;uur;-;1;1.3;4.55;78;354.9;ENG-A;415.233
070202;3;B-smart element;1pp B600.Count*0.5;3.5;m1;-;1;1.3;4.55;57;259.35;MAT-A;303.4395
070203;3;Uitvoeringsuren;10;10;uur;-;1;1.3;13;45;585;UIT-A;684.45
